,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Row_Avg
P13_D6_G5_M6_R1_T2,0.5,0.2692307692307692,0.38461538461538464,0.34615384615384615,0.34615384615384615,0.38461538461538464,0.3717948717948718
P7_D6_G1_M6_R2_T1,0.3617021276595745,0.2765957446808511,0.46808510638297873,0.3191489361702128,0.40425531914893614,0.425531914893617,0.3758865248226951
P7_D5_G1_M6_R1_T1,0.3333333333333333,0.4444444444444444,0.6296296296296297,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.3888888888888889
P5_D5_G3_M5_R1_T1,0.4166666666666667,0.375,0.3333333333333333,0.2916666666666667,0.4583333333333333,0.25,0.3541666666666667
P8_D5_G4_M5_R1_T1,0.5142857142857142,0.2857142857142857,0.2571428571428571,0.5428571428571428,0.3142857142857143,0.34285714285714286,0.37619047619047613
P11_D0_G6_M6_R2_T1,0.32558139534883723,0.37209302325581395,0.2558139534883721,0.4883720930232558,0.37209302325581395,0.4186046511627907,0.37209302325581395
P7_D1_G1_M1_R1_T1,0.4782608695652174,0.30434782608695654,0.391304347826087,0.391304347826087,0.4782608695652174,0.21739130434782608,0.3768115942028986
P3_D0_G1_M6_R2_T1,0.4,0.4222222222222222,0.4666666666666667,0.3111111111111111,0.35555555555555557,0.35555555555555557,0.38518518518518513
P11_D1_G6_M1_R2_T1,0.44,0.38666666666666666,0.29333333333333333,0.32,0.4,0.36,0.3666666666666667
P7_D0_G1_M6_R1_T1,0.34615384615384615,0.34615384615384615,0.5,0.19230769230769232,0.5,0.2692307692307692,0.358974358974359
P4_D6_G2_M6_R2_T1,0.55,0.25,0.475,0.3,0.5,0.45,0.4208333333333334
P4_D5_G2_M6_R1_T1,0.37894736842105264,0.4,0.45263157894736844,0.3684210526315789,0.43157894736842106,0.45263157894736844,0.41403508771929826
P3_D1_G1_M1_R2_T1,0.37254901960784315,0.39215686274509803,0.29411764705882354,0.3333333333333333,0.29411764705882354,0.3333333333333333,0.33660130718954245
P12_D0_G7_M6_R2_T1,0.40476190476190477,0.35714285714285715,0.3333333333333333,0.35714285714285715,0.40476190476190477,0.2857142857142857,0.35714285714285715
P6_D6_G1_M6_R2_T1,0.2978723404255319,0.2765957446808511,0.3404255319148936,0.40425531914893614,0.5106382978723404,0.3404255319148936,0.3617021276595745
P6_D5_G1_M6_R1_T1,0.3225806451612903,0.4838709677419355,0.45161290322580644,0.3225806451612903,0.41935483870967744,0.3870967741935484,0.39784946236559143
P13_D1_G5_M1_R2_T1,0.5084745762711864,0.3389830508474576,0.3898305084745763,0.3389830508474576,0.3389830508474576,0.3389830508474576,0.37570621468926557
