,Name,Duration,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Artist,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,dt_LZ,LZ_avg,dt_LZ_avg,IOI,IOI_avg,p_LZ,p_dt_LZ,p_LZ_avg,p_dt_LZ_avg,p_IOI,p_IOI_avg,g_LZ,g_dt_LZ,g_LZ_avg,g_dt_LZ_avg,g_IOI,g_IOI_avg,p_lag_0,g_lag_0,p_lag_avg,g_lag_avg,annot_frac,number,Condition,Pair
10,P10_D1_G5_M1_R1_T1,5.8,P10,MI,DI,Z1,A2,20.34,P,,0.031321036323223646,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.031321036323223646,-0.002847366938474899,0.050076518548395184,-6.189928127119264e-05,0.47619047619047616,0.38351326037661443,0.03559208673093597,-0.005694733876949742,0.046610158797208354,-6.189928127119203e-05,0.21428571428571425,0.2931307305530908,0.05552365530026017,-2.825121089447943e-17,0.0652418424598375,0.00012379856254237962,0.31190476190476196,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,10,D1_M1,P10_G5
11,P10_D1_G5_M1_R1_T1,11.6,P10,MI,DI,Z1,A3,20.35,P,,0.05196444662716657,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05196444662716657,0.003559208673093578,0.050076518548395184,-6.189928127119264e-05,0.36428571428571427,0.38351326037661443,0.04555787101559807,0.0007118417346187213,0.046610158797208354,-6.189928127119203e-05,0.37499999999999994,0.2931307305530908,0.05837102223873506,0.003559208673093578,0.0652418424598375,0.00012379856254237962,0.2887755102040816,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,11,D1_M1,P10_G5
12,P10_D1_G5_M1_R1_T1,11.4,P10,MI,DI,Z3,A2,20.36,P,,0.05765918050411634,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.05765918050411634,-0.001423683469237436,0.050076518548395184,-6.189928127119264e-05,0.3464285714285714,0.38351326037661443,0.06050654744259122,0.0014236834692374428,0.046610158797208354,-6.189928127119203e-05,0.2964285714285714,0.2931307305530908,0.06762496478877843,-0.0021355252038561643,0.0652418424598375,0.00012379856254237962,0.24855442176870746,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,12,D1_M1,P10_G5
13,P10_D1_G5_M1_R1_T1,6.1,P10,MI,DI,Z2,A1,20.37,P,,0.04555787101559807,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.04555787101559807,0.0014236834692374287,0.050076518548395184,-6.189928127119264e-05,0.5119047619047619,0.38351326037661443,0.04555787101559807,-0.005694733876949756,0.046610158797208354,-6.189928127119203e-05,0.619047619047619,0.2931307305530908,0.054099971831022726,-0.007118417346187228,0.0652418424598375,0.00012379856254237962,0.3809523809523809,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,13,D1_M1,P10_G5
14,P10_D1_G5_M1_R1_T1,5.8,P10,MI,DI,Z2,A2,20.38,P,,0.0498289214233104,,1.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.0498289214233104,0.002847366938474857,0.050076518548395184,-6.189928127119264e-05,0.5047619047619049,0.38351326037661443,0.041286820607885744,0.0028473669384748855,0.046610158797208354,-6.189928127119203e-05,0.4928571428571429,0.2931307305530908,0.05837102223873506,-4.956352788505163e-19,0.0652418424598375,0.00012379856254237962,0.3238095238095238,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,14,D1_M1,P10_G5
15,P10_D1_G5_M1_R1_T1,10.8,P10,MI,DI,Z3,A2,20.39,P,,0.06439429845473962,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.06439429845473962,0.0007665987911278537,0.050076518548395184,-6.189928127119264e-05,0.21300366300366302,0.38351326037661443,0.06592749603699533,0.0030663951645113997,0.046610158797208354,-6.189928127119203e-05,0.19386446886446881,0.2931307305530908,0.061327903290228206,0.0007665987911278537,0.0652418424598375,0.00012379856254237962,0.2903846153846154,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,15,D1_M1,P10_G5
16,P10_D1_G5_M1_R1_T1,13.1,P10,MI,DI,Z3,A2,20.41,P,,0.07038335151042596,,3.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.07038335151042596,-0.00124572303558275,0.050076518548395184,-6.189928127119264e-05,0.1841517857142857,0.38351326037661443,0.07287479758159149,-0.0012457230355827562,0.046610158797208354,-6.189928127119203e-05,0.1733630952380952,0.2931307305530908,0.07723482820613116,-0.0012457230355827505,0.0652418424598375,0.00012379856254237962,0.16473214285714283,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,16,D1_M1,P10_G5
17,P10_D1_G5_M1_R1_T1,9.1,P10,MI,DI,Z3,A1,20.42,P,,0.055808391994107656,,2.0,7,6,4,7,7,7,7,7,7.0,1,7,1,6,6,7.0,6.0,7.0,5.0,6.0,6.0,6.0,4.75,6.0,5.375,D1,M1,R1,0.055808391994107656,-0.00498289214233101,0.050076518548395184,-6.189928127119264e-05,0.37,0.38351326037661443,0.05481181356564145,-0.00398631371386481,0.046610158797208354,-6.189928127119203e-05,0.3916666666666666,0.2931307305530908,0.06577417627876975,-0.00398631371386483,0.0652418424598375,0.00012379856254237962,0.23107142857142854,0.24391205757665382,0.3602484472049689,0.3602484472049689,0.324223602484472,0.3391304347826087,,17,D1_M1,P10_G5
18,P6_D1_G1_M6_R1_T1,13.2,P6,MC,DI,Z1,A3,7.1,P,,0.03238879892515173,,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.03238879892515173,0.0018685845533741251,0.0494994740089414,-0.00024708556077675074,0.5,0.3735143644234553,0.0199315685693241,0.0,0.034015445533598636,-8.23618535922496e-05,0.0,0.34470680834317197,0.02117729160490686,0.0,0.02388493754175204,-8.236185359224713e-05,0.0625,0.2190082644628099,0.5041322314049587,0.5041322314049587,0.4338842975206611,0.4330578512396694,,0,D1_M6,P6_G1
19,P6_D1_G1_M6_R1_T1,13.8,P6,MC,DI,Z2,A3,7.2,P,,0.04924269881833027,,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.04924269881833027,4.0817022964160166e-19,0.0494994740089414,-0.00024708556077675074,0.5025210084033613,0.3735143644234553,0.029897352853986196,5.714383214982423e-18,0.034015445533598636,-8.23618535922496e-05,0.27941176470588236,0.34470680834317197,0.02051779117430422,0.0,0.02388493754175204,-8.236185359224713e-05,0.058823529411764705,0.2190082644628099,0.5041322314049587,0.5041322314049587,0.4338842975206611,0.4330578512396694,,1,D1_M6,P6_G1
20,P6_D1_G1_M6_R1_T1,13.3,P6,MC,DI,Z2,A3,7.3,P,,0.040485998656439676,,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.040485998656439676,0.0012457230355827687,0.0494994740089414,-0.00024708556077675074,0.47604166666666664,0.3735143644234553,0.0298973528539862,-0.000622861517791369,0.034015445533598636,-8.23618535922496e-05,0.29375,0.34470680834317197,0.021800153122698243,-0.000622861517791375,0.02388493754175204,-8.236185359224713e-05,0.125,0.2190082644628099,0.5041322314049587,0.5041322314049587,0.4338842975206611,0.4330578512396694,,2,D1_M6,P6_G1
