,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Row_Avg
P9_D6_G4_M6_R1_T2,0.3739130434782609,0.30434782608695654,0.34782608695652173,0.30434782608695654,0.3652173913043478,0.30434782608695654,0.391304347826087,0.3391304347826087,0.34782608695652173,0.3826086956521739,0.34608695652173915
P7_D5_G1_M5_R2_T1,0.4122137404580153,0.29770992366412213,0.4198473282442748,0.2824427480916031,0.37404580152671757,0.37404580152671757,0.3435114503816794,0.366412213740458,0.3435114503816794,0.3282442748091603,0.3541984732824428
P4_D1_G2_M6_R1_T1,0.3881019830028329,0.28611898016997167,0.36827195467422097,0.34844192634560905,0.38526912181303113,0.29461756373937675,0.3371104815864023,0.34277620396600567,0.34277620396600567,0.3881019830028329,0.3481586402266289
P5_D1_G3_M1_R2_T1,0.3107344632768362,0.3220338983050847,0.3163841807909605,0.3389830508474576,0.2768361581920904,0.3220338983050847,0.3446327683615819,0.288135593220339,0.3050847457627119,0.3559322033898305,0.31807909604519774
P8_D1_G4_M1_R2_T1,0.37089201877934275,0.3192488262910798,0.3755868544600939,0.323943661971831,0.352112676056338,0.3145539906103286,0.3333333333333333,0.3145539906103286,0.3427230046948357,0.3615023474178404,0.3408450704225352
P3_D1_G1_M1_R1_T1,0.3,0.388,0.372,0.356,0.404,0.344,0.38,0.36,0.336,0.32,0.3559999999999999
P4_D5_G2_M6_R2_T1,0.3719512195121951,0.3780487804878049,0.3353658536585366,0.3353658536585366,0.38414634146341464,0.31097560975609756,0.3780487804878049,0.3902439024390244,0.35365853658536583,0.3597560975609756,0.3597560975609756
P7_D0_G1_M6_R2_T1,0.3403141361256545,0.25654450261780104,0.2513089005235602,0.2774869109947644,0.3089005235602094,0.3193717277486911,0.24083769633507854,0.2931937172774869,0.2931937172774869,0.28272251308900526,0.28638743455497384
P4_D6_G2_M6_R1_T1,0.4648648648648649,0.43243243243243246,0.4081081081081081,0.4081081081081081,0.4081081081081081,0.4243243243243243,0.41081081081081083,0.46216216216216216,0.41081081081081083,0.4243243243243243,0.4254054054054054
P11_D1_G6_M1_R1_T1,0.313953488372093,0.313953488372093,0.35658914728682173,0.313953488372093,0.32170542635658916,0.32558139534883723,0.36046511627906974,0.32170542635658916,0.34108527131782945,0.38372093023255816,0.3352713178294574
P3_D0_G1_M6_R1_T1,0.3838383838383838,0.35858585858585856,0.3484848484848485,0.32323232323232326,0.43434343434343436,0.29797979797979796,0.40404040404040403,0.3282828282828283,0.3686868686868687,0.3434343434343434,0.35909090909090907
P7_D1_G1_M1_R2_T1,0.40414507772020725,0.3316062176165803,0.38860103626943004,0.31088082901554404,0.39378238341968913,0.31088082901554404,0.36787564766839376,0.30569948186528495,0.3316062176165803,0.37823834196891193,0.3523316062176166
P8_D5_G4_M5_R2_T1,0.375,0.3076923076923077,0.3605769230769231,0.32211538461538464,0.2980769230769231,0.4230769230769231,0.3557692307692308,0.34134615384615385,0.36538461538461536,0.32211538461538464,0.3471153846153846
P11_D0_G6_M6_R1_T1,0.45,0.36,0.36,0.42,0.35,0.28,0.43,0.33,0.3,0.26,0.354
P5_D5_G3_M5_R2_T1,0.4731182795698925,0.2903225806451613,0.3655913978494624,0.26881720430107525,0.24731182795698925,0.3978494623655914,0.26881720430107525,0.3978494623655914,0.3548387096774194,0.22580645161290322,0.3290322580645161
P10_D5_G5_M5_R1_T1,0.43434343434343436,0.29292929292929293,0.3333333333333333,0.3333333333333333,0.40404040404040403,0.35353535353535354,0.1919191919191919,0.32323232323232326,0.42424242424242425,0.29292929292929293,0.33838383838383834
