,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,Participant
27,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.33,6.330207244256108,4.805555555555555,6.673556937674528,5.131578947368421,0.5462785095749347,0.46500367261784054,IMP2,2.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7808025836912245,0.7246247009487782,0.02513171795942695,0.008552928712222801,1.037400345002471,0.3155787177192854,P3
28,P7_D5_G1_M5_R2_T1,MI,DC,Z2,A1,9.1,1.0,4.571428571428571,4.0,5.8,0.04139684071621943,0.03485684987271126,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7762513005459795,0.7731761453669075,0.007322820214148175,0.02166808589382759,0.5785673588833745,0.5198353022834425,P7
29,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.2,1.0,4.571428571428571,4.0,5.8,0.22603608007537684,0.17717519230584883,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7870782311366724,0.7731761453669075,0.022375960407760492,0.02166808589382759,0.25089672827577153,0.5198353022834425,P7
30,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.3,1.0,4.571428571428571,4.0,5.8,0.388407155126934,0.3456782126680158,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.8012850746537521,0.7731761453669075,0.035562442966010646,0.02166808589382759,0.24315869252475006,0.5198353022834425,P7
31,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.4,1.0,4.571428571428571,4.0,5.8,0.3377770571145025,0.2955922649070431,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.8024597037011991,0.7731761453669075,0.03175896947129195,0.02166808589382759,0.5397767802884668,0.5198353022834425,P7
32,P7_D5_G1_M5_R2_T1,MC,DC,Z1,A2,9.5,1.0,4.571428571428571,4.0,5.8,0.028223591059538183,0.029582077814858998,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7276126628294024,0.7731761453669075,0.014287407596937324,0.02166808589382759,0.6124393333969861,0.5198353022834425,P7
33,P7_D5_G1_M5_R2_T1,MC,DI,Z3,A2,9.6,2.9750762503708956,4.571428571428571,4.0,5.8,0.34317094480897314,0.2491209811487287,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7831324385539072,0.7731761453669075,0.027432508665304313,0.02166808589382759,0.4799379618870429,0.5198353022834425,P7
34,P7_D5_G1_M5_R2_T1,MC,DI,Z2,A3,9.7,4.096456123399422,4.571428571428571,4.0,5.8,0.1448563755127987,0.07578330046952651,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7566560105181053,0.7731761453669075,0.01432931420907304,0.02166808589382759,0.7854884380216526,0.5198353022834425,P7
35,P7_D5_G1_M5_R2_T1,MI,DI,Z1,A3,9.8,4.937549915898152,4.571428571428571,4.0,5.8,0.03597636241414068,0.031908758092432196,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7691562228829674,0.7731761453669075,0.013568566755763303,0.02166808589382759,0.3992931014712948,0.5198353022834425,P7
36,P7_D5_G1_M5_R2_T1,MC,DI,Z1,A3,9.9,5.0,4.571428571428571,4.0,5.8,0.014164352133196001,0.016034150941447157,IMP2,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.704532380232026,0.7731761453669075,0.006461289771534712,0.02166808589382759,0.9259331441234852,0.5198353022834425,P7
