,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_Av,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,Participant
37,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A2,9.1,7.0,0.30681691824374685,0.22460774251001125,IMP2,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
38,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A2,9.11,7.0,0.3760251069635573,0.3350419599705384,IMP2,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
39,P7_D5_G1_M5_R2_T1,MI,DI,Z3,A1,9.12,7.0,0.400242225451551,0.373432184550496,IMP2,1.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
40,P7_D5_G1_M5_R2_T1,MI,DI,Z3,A1,9.13,4.980769230769234,0.5141119932937742,0.4499406840675778,IMP1,4.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
41,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.1,4.0,0.00617328747024666,0.010014841194771487,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
42,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.2,4.0,0.0006453183779761999,0.0059828921423309995,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
43,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.3,4.0,0.0658228962567649,0.05942099695906055,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
44,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.4,4.0,0.14516359568942636,0.09378183433103907,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
45,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.5,4.0,0.10137909077706549,0.08045415486134634,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
46,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.6,3.478132028372629,0.08165445901250226,0.0681734815165616,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
47,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.7.1,4.0,0.04566468077379411,0.03769222049668553,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
48,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.7.2,4.122255833969116,0.309135382026061,0.22402607244061792,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
49,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.8,4.7085341605911,0.08148128819787688,0.070448554975948,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
50,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.9.1,5.0,0.011788396631211786,0.015811929233303414,IMP2,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
51,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.9.2,5.0,0.08737207632973684,0.06999983806527318,IMP2,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
