t_onset,int_onset
147.86,-38.333
148.01,-48.03
148.34,-40.098
148.6,-42.597
148.72,-34.574
148.97,-40.854
149.14,-40.315
149.31,-38.922
149.51,-43.304
149.69,-44.288
149.88,-47.702
150.06,-35.726
150.23,-34.378
150.71,-53.532
150.86,-44.332
150.97,-29.705
151.12,-32.489
151.23,-28.791
151.77,-37.13
151.97,-33.09
152.22,-37.303
152.39,-39.782
152.54,-48.03
152.67,-40.942
152.78,-43.343
152.88,-34.907
153.16,-37.499
153.35,-43.112
153.51,-36.904
153.64,-38.922
153.8,-35.502
154.07,-43.343
154.27,-39.28
154.44,-38.6
154.78,-42.178
154.94,-35.791
155.27,-34.24
155.51,-33.931
155.6,-32.226
155.7,-32.313
155.84,-26.435
156.76,-30.344
157.08,-35.989
157.27,-34.461
157.52,-39.86
157.65,-43.741
157.74,-35.629
158.56,-59.428
158.82,-46.963
159.06,-62.35
159.14,-50.484
159.23,-44.688
159.7,-51.927
159.83,-74.746
159.91,-57.245
160.02,-54.322
160.19,-72.247
160.54,-37.64
160.7,-35.629
161.0,-46.963
161.08,-42.385
161.32,-57.64
161.49,-47.022
161.7,-61.366
161.78,-42.043
161.9,-39.28
162.09,-47.082
162.17,-39.705
162.35,-33.469
162.72,-64.288
162.87,-66.227
163.0,-37.111
163.45,-39.111
163.7,-49.641
163.98,-56.867
164.12,-48.653
164.29,-47.082
164.61,-45.252
164.77,-40.26
165.13,-41.714
165.39,-47.832
165.49,-44.116
165.66,-34.172
166.05,-36.867
166.4,-39.354
166.74,-34.746
167.14,-42.212
167.44,-32.843
167.68,-34.226
167.84,-37.073
168.08,-43.037
168.39,-33.114
168.95,-39.039
169.07,-32.269
169.44,-39.111
169.79,-40.426
169.98,-34.688
170.18,-32.501
170.45,-54.322
170.58,-51.823
170.69,-44.508
171.11,-41.682
171.35,-58.945
171.43,-47.767
171.52,-54.602
171.66,-52.808
171.9,-59.428
172.23,-68.725
172.32,-68.03
172.48,-61.682
172.61,-68.03
172.67,-38.51
173.04,-37.721
173.46,-41.65
173.73,-63.074
173.79,-50.755
173.88,-49.095
174.04,-54.746
174.16,-54.322
174.23,-54.746
174.39,-56.684
174.45,-47.449
174.68,-55.192
174.81,-52.924
175.13,-48.511
175.37,-55.989
175.46,-48.165
175.78,-50.664
175.87,-45.06
176.14,-51.619
176.27,-35.222
176.52,-40.315
176.83,-29.885
177.21,-34.199
177.94,-45.959
178.16,-48.582
178.27,-45.013
178.65,-53.284
178.75,-52.924
178.87,-48.233
178.99,-43.227
179.17,-47.964
179.26,-48.441
179.48,-41.001
179.66,-39.654
179.97,-45.498
180.06,-45.751
180.23,-40.767
180.34,-33.382
180.48,-34.24
180.66,-36.96
180.97,-42.043
181.1,-34.848
181.19,-33.723
181.27,-33.545
181.56,-35.283
181.86,-35.823
181.93,-38.713
182.27,-48.165
182.35,-44.919
182.55,-30.171
182.97,-35.146
183.16,-35.71
183.37,-49.641
183.5,-29.713
183.65,-15.311
183.81,-41.212
183.96,-39.756
184.01,-35.268
184.14,-29.927
184.32,-29.387
184.7,-28.247
185.03,-27.227
185.15,-26.336
