,Name,Assigned_t,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
27,P10_D1_G5_M6_R1_T1,0.5,G5,3.0,55.80095762057895,0.22312438729570205,0.1833803558086551,20.291699460349147,52.927183397804136,0.23497787037078624,,G,P10,D1,M6,R1,D1_M6,P10_G5
28,P10_D1_G5_M6_R1_T1,0.8,G5,3.75,52.913540722332506,0.1708296090232719,0.007669900813289734,15.873611954205975,53.123891892047055,0.0599646790857199,3.0,G,P10,D1,M6,R1,D1_M6,P10_G5
29,P10_D1_G5_M6_R1_T1,0.8,P10,7.0,52.913540722332506,0.1708296090232719,0.007669900813289734,15.873611954205975,53.123891892047055,0.0599646790857199,6.333333333333333,P,P10,D1,M6,R1,D1_M6,P10_G5
30,P10_D1_G5_M6_R1_T1,0.9,G5,5.0,54.36083512700015,0.182683092098356,0.09936007871761729,20.46273629565335,52.906308658745125,0.15479254368639325,4.0,G,P10,D1,M6,R1,D1_M6,P10_G5
31,P10_D1_G5_M6_R1_T1,0.9,P10,5.0,54.36083512700015,0.182683092098356,0.09936007871761729,20.46273629565335,52.906308658745125,0.15479254368639325,,P,P10,D1,M6,R1,D1_M6,P10_G5
32,P10_D1_G5_M6_R1_T1,1.0,G5,4.0,57.423022929434815,0.42896659548613436,0.28184793697708965,24.217936325594916,53.99149934411921,0.40855295525336077,2.3333333333333335,G,P10,D1,M6,R1,D1_M6,P10_G5
33,P10_D1_G5_M6_R1_T1,1.0,P10,5.0,57.423022929434815,0.42896659548613436,0.28184793697708965,24.217936325594916,53.99149934411921,0.40855295525336077,6.333333333333333,P,P10,D1,M6,R1,D1_M6,P10_G5
34,P10_D1_G5_M6_R2_T1,0.1,P10,7.0,51.313032236480055,0.01882612017807484,0.0062753733926916,0.5705600133526361,49.660161475488295,0.00585701516651216,7.0,P,P10,D1,M6,R2,D1_M6,P10_G5
35,P10_D1_G5_M6_R2_T1,0.5,P10,5.5,53.31960528847753,0.16608821579323824,0.0685061595368835,17.519951280676533,52.19892159087656,0.10333448186632202,4.5,P,P10,D1,M6,R2,D1_M6,P10_G5
36,P10_D1_G5_M6_R2_T1,0.8,P10,6.0,54.534569328034046,0.15060896142459884,0.025101493570766423,20.373670356554584,52.22610890774458,0.0581517934389423,6.0,P,P10,D1,M6,R2,D1_M6,P10_G5
37,P10_D1_G5_M6_R2_T1,0.9,P10,7.0,52.555117805245004,0.09674533980399577,0.058047203882397445,18.57900881921315,52.41568736291677,0.02405559800531785,6.5,P,P10,D1,M6,R2,D1_M6,P10_G5
38,P10_D1_G5_M6_R2_T1,1.0,P10,7.0,56.74098734321923,0.3798072903744618,0.2622292603816415,20.66681315697941,53.74449091272506,0.3569680301748878,6.5,P,P10,D1,M6,R2,D1_M6,P10_G5
39,P10_D5_G5_M5_R1_T1,0.2,G5,4.0,56.915469223598414,0.11818619889569215,0.20394963526247764,24.432167440258922,52.29672354673245,0.2123167997860665,4.0,G,P10,D5,M5,R1,D5_M5,P10_G5
40,P10_D5_G5_M5_R1_T1,0.2,P10,4.0,56.915469223598414,0.11818619889569215,0.20394963526247764,24.432167440258922,52.29672354673245,0.2123167997860665,,P,P10,D5,M5,R1,D5_M5,P10_G5
41,P10_D5_G5_M5_R1_T1,0.4,P10,7.0,57.454391659820715,0.5103970359389186,0.15897612594818772,24.742139198421967,54.02643737691851,0.2844835938020201,4.0,P,P10,D5,M5,R1,D5_M5,P10_G5
