,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
5,P11_D6_G6_M6_R1_T2,0.30000000000000004,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.4
6,P11_D6_G6_M6_R1_T2,0.4,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.4
7,P11_D6_G6_M6_R1_T2,0.4,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.4
8,P11_D6_G6_M6_R1_T2,0.5,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.5
9,P11_D6_G6_M6_R1_T2,0.5,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.5
10,P11_D6_G6_M6_R1_T2,0.6,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.6
11,P11_D6_G6_M6_R1_T2,0.6,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.6
12,P11_D6_G6_M6_R1_T2,0.7000000000000001,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.8
13,P11_D6_G6_M6_R1_T2,0.7000000000000001,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.8
14,P11_D6_G6_M6_R1_T2,0.8,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.8
15,P11_D6_G6_M6_R1_T2,0.8,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.8
16,P11_D6_G6_M6_R1_T2,0.9,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.9
17,P11_D6_G6_M6_R1_T2,0.9,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,0.9
18,P11_D6_G6_M6_R1_T2,1.0,4,2.6627219923706056,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,1.0
