,Name,Assigned,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
221,P5_D1_G3_M6_R2_T1,1.0,G3,6.0,51.35263354507121,0.3337762644328849,0.3038326617628193,19.278261108061,14.283574977896428,0.3462960217200326,5.666666666666667,G,P5,D1,M6,R2,D1_M6,P5_G3
222,P5_D1_G3_M6_R2_T1,1.0,P5,3.0,51.35263354507121,0.3337762644328849,0.3038326617628193,19.278261108061,14.283574977896428,0.3462960217200326,3.5,P,P5,D1,M6,R2,D1_M6,P5_G3
223,P5_D5_G3_M5_R1_T1,0.1,G3,5.0,48.481460645295336,0.009064428233887867,0.0780935355534957,16.339636638522347,9.043300485144664,0.05438656940332737,1.0,G,P5,D5,M5,R1,D5_M5,P5_G3
224,P5_D5_G3_M5_R1_T1,0.1,P5,5.0,48.481460645295336,0.009064428233887867,0.0780935355534957,16.339636638522347,9.043300485144664,0.05438656940332737,7.0,P,P5,D5,M5,R1,D5_M5,P5_G3
225,P5_D5_G3_M5_R1_T1,0.2,G3,6.0,51.46368912722352,0.13701231907376704,0.28552948936746875,19.473613085358615,14.83981099926428,0.26774926475484245,5.0,G,P5,D5,M5,R1,D5_M5,P5_G3
226,P5_D5_G3_M5_R1_T1,0.4,G3,4.0,46.81433637269281,0.09622239202127145,0.0052294778272429995,11.735396077157493,14.581622372000869,0.0052294778272429995,4.0,G,P5,D5,M5,R1,D5_M5,P5_G3
227,P5_D5_G3_M5_R1_T1,0.4,P5,6.0,46.81433637269281,0.09622239202127145,0.0052294778272429995,11.735396077157493,14.581622372000869,0.0052294778272429995,,P,P5,D5,M5,R1,D5_M5,P5_G3
228,P5_D5_G3_M5_R1_T1,0.6,G3,3.0,51.250704216749114,0.21336269535151509,0.131782841246524,18.558951194879878,15.235565845202505,0.1568843348172905,,G,P5,D5,M5,R1,D5_M5,P5_G3
229,P5_D5_G3_M5_R1_T1,0.8,G3,4.0,52.15329235615505,0.28657538493291734,0.24578545788042178,19.876923828536377,15.541381601202215,0.24543682602527228,2.0,G,P5,D5,M5,R1,D5_M5,P5_G3
230,P5_D5_G3_M5_R1_T1,0.8,P5,5.0,52.15329235615505,0.28657538493291734,0.24578545788042178,19.876923828536377,15.541381601202215,0.24543682602527228,7.0,P,P5,D5,M5,R1,D5_M5,P5_G3
231,P5_D5_G3_M5_R1_T1,0.9,G3,3.0,48.54926901967478,0.19872015743523463,0.17675635056081396,19.456689674634173,15.044642012667342,0.14328769246645864,,G,P5,D5,M5,R1,D5_M5,P5_G3
232,P5_D5_G3_M5_R1_T1,0.9,P5,6.0,48.54926901967478,0.19872015743523463,0.17675635056081396,19.456689674634173,15.044642012667342,0.14328769246645864,,P,P5,D5,M5,R1,D5_M5,P5_G3
233,P5_D5_G3_M5_R1_T1,1.0,G3,4.5,52.611458738831296,0.1842822512600202,0.1397407422879808,20.38363410758682,15.073340116192545,0.161005163345158,4.0,G,P5,D5,M5,R1,D5_M5,P5_G3
234,P5_D5_G3_M5_R1_T1,1.0,P5,6.0,52.611458738831296,0.1842822512600202,0.1397407422879808,20.38363410758682,15.073340116192545,0.161005163345158,4.666666666666667,P,P5,D5,M5,R1,D5_M5,P5_G3
235,P5_D5_G3_M5_R2_T1,0.1,G3,5.0,50.17385541064044,0.28657538493291734,0.18477488322925328,18.049454802929507,8.250851742958389,0.17849950983656168,3.0,G,P5,D5,M5,R2,D5_M5,P5_G3
236,P5_D5_G3_M5_R2_T1,0.1,P5,2.0,50.17385541064044,0.28657538493291734,0.18477488322925328,18.049454802929507,8.250851742958389,0.17849950983656168,4.0,P,P5,D5,M5,R2,D5_M5,P5_G3
237,P5_D5_G3_M5_R2_T1,0.2,P5,3.0,52.65444952095487,0.3514209099907307,0.38279777695418893,20.566515359587974,14.169734957709725,0.4382302419229649,,P,P5,D5,M5,R2,D5_M5,P5_G3
238,P5_D5_G3_M5_R2_T1,0.4,G3,4.0,43.80678778192558,0.0348631855149534,0.0041835822617944,5.464501572127781,11.004823947273808,0.0041835822617944,,G,P5,D5,M5,R2,D5_M5,P5_G3
239,P5_D5_G3_M5_R2_T1,0.4,P5,1.0,43.80678778192558,0.0348631855149534,0.0041835822617944,5.464501572127781,11.004823947273808,0.0041835822617944,4.0,P,P5,D5,M5,R2,D5_M5,P5_G3
240,P5_D5_G3_M5_R2_T1,0.5,G3,6.0,41.300148634163065,0.010458955654486,0.0041835822617944,7.836568597721075,9.478117119569475,0.0041835822617944,6.0,G,P5,D5,M5,R2,D5_M5,P5_G3
241,P5_D5_G3_M5_R2_T1,0.5,P5,2.0,41.300148634163065,0.010458955654486,0.0041835822617944,7.836568597721075,9.478117119569475,0.0041835822617944,2.0,P,P5,D5,M5,R2,D5_M5,P5_G3
242,P5_D5_G3_M5_R2_T1,0.8,P5,2.0,50.30502228001133,0.15897612594818775,0.18512351508440278,18.324912710944577,13.64313331622093,0.1830317239535056,2.5,P,P5,D5,M5,R2,D5_M5,P5_G3
243,P5_D5_G3_M5_R2_T1,0.9,G3,3.0,49.8248080483539,0.38384367251963747,0.17989403725715974,17.558166456203153,14.44586415616334,0.1746645594299168,,G,P5,D5,M5,R2,D5_M5,P5_G3
244,P5_D5_G3_M5_R2_T1,0.9,P5,2.0,49.8248080483539,0.38384367251963747,0.17989403725715974,17.558166456203153,14.44586415616334,0.1746645594299168,4.0,P,P5,D5,M5,R2,D5_M5,P5_G3
245,P5_D5_G3_M5_R2_T1,1.0,G3,5.0,50.91775906539812,0.2853800757152618,0.236704428129622,18.651063503670315,14.118581026888506,0.2741837961683632,4.333333333333333,G,P5,D5,M5,R2,D5_M5,P5_G3
246,P5_D5_G3_M5_R2_T1,1.0,P5,1.0,50.91775906539812,0.2853800757152618,0.236704428129622,18.651063503670315,14.118581026888506,0.2741837961683632,3.0,P,P5,D5,M5,R2,D5_M5,P5_G3
247,P5_D5_G3_M6_R1_T1,0.1,G3,5.0,46.196368128713935,0.020220647598672967,0.036257712935551564,11.303836252991928,11.388371705419829,0.039744031487046895,,G,P5,D5,M6,R1,D5_M6,P5_G3
248,P5_D5_G3_M6_R1_T1,0.1,P5,5.0,46.196368128713935,0.020220647598672967,0.036257712935551564,11.303836252991928,11.388371705419829,0.039744031487046895,,P,P5,D5,M6,R1,D5_M6,P5_G3
249,P5_D5_G3_M6_R1_T1,0.2,G3,6.0,46.04618695448167,0.04323035003854223,0.018826120178074834,8.834799775749742,12.380816565353138,0.020917911308972036,1.0,G,P5,D5,M6,R1,D5_M6,P5_G3
250,P5_D5_G3_M6_R1_T1,0.2,P5,6.0,46.04618695448167,0.04323035003854223,0.018826120178074834,8.834799775749742,12.380816565353138,0.020917911308972036,7.0,P,P5,D5,M6,R1,D5_M6,P5_G3
