,Name,t_%,y_var,t0,t_0,Artist,Rater,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
94,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,6,,243.62834402098085,P,P3,P3,D1,M1,R1,D1_M1,1.0
95,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,1.0,7,,249.09933200572203,P,P3,P3,D1,M1,R1,D1_M1,1.0
96,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.2,4,,57.60061484169006,P,P4,P4,D1,M1,R1,D1_M1,0.2
97,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.30000000000000004,5,,88.51317393896484,P,P4,P4,D1,M1,R1,D1_M1,0.4
98,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.4,6,,114.19889791416932,P,P4,P4,D1,M1,R1,D1_M1,0.4
99,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.5,6,,135.94184596757506,P,P4,P4,D1,M1,R1,D1_M1,0.5
100,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.6,6,,175.6297142269745,P,P4,P4,D1,M1,R1,D1_M1,0.6
101,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.6,5,,183.72502498283387,P,P4,P4,D1,M1,R1,D1_M1,0.6
102,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.7000000000000001,5,,207.383579164032,P,P4,P4,D1,M1,R1,D1_M1,0.8
103,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.8,6,,243.177093,P,P4,P4,D1,M1,R1,D1_M1,0.8
104,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.9,6,,254.80974601716613,P,P4,P4,D1,M1,R1,D1_M1,0.9
105,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.9,6,,259.89479495040894,P,P4,P4,D1,M1,R1,D1_M1,0.9
106,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.9,6,,266.67714598283385,P,P4,P4,D1,M1,R1,D1_M1,0.9
107,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,0.9,6,,276.1222839637604,P,P4,P4,D1,M1,R1,D1_M1,0.9
108,P4_P4_D1_G2_M1_R1_T1_FLOW.csv,1.0,6,,292.33337710108947,P,P4,P4,D1,M1,R1,D1_M1,1.0
109,P8_P8_D5_G4_M5_R1_T1_FLOW.csv,0.2,4,,18.75804446418781,P,P8,P8,D5,M5,R1,D5_M5,0.2
110,P8_P8_D5_G4_M5_R1_T1_FLOW.csv,0.2,5,,24.67220624657255,P,P8,P8,D5,M5,R1,D5_M5,0.2
111,P8_P8_D5_G4_M5_R1_T1_FLOW.csv,0.30000000000000004,6,,30.91105286043066,P,P8,P8,D5,M5,R1,D5_M5,0.4
