,Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,CTW,LZ_avg,var_entropy_avg,MIR_entropy_avg,MIR_novelty_avg,Condition,Pair,Condition_order
40,P3_D1_G1_M1_R1_T1,P3,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.19618976493818152,52.89688668035281,0.7552472589148073,0.28647325390685696,D1_M1,P3_D1,4.0
41,P3_D6_G1_M6_R2_T1,P3,2,4,4,5,7,7,6,7,6,6,7,7,6,5,,,6.25,6.166666666666667,6.208333333333334,D6,M6,R2,0.4315493045363988,0.4638849897419168,0.18380477719753285,51.742285726975275,0.7233124754463712,0.312078549664577,D6_M6,P3_D6,0.0
42,P3_D5_G1_M6_R2_T1,P3,4,4,4,6,7,7,6,7,6,4,6,7,5,6,,,6.25,5.833333333333333,6.041666666666666,D5,M6,R2,0.4143445045747043,0.4482324189409156,0.17452813826920605,51.786781870907184,0.7105523781469747,0.32455521098941165,D5_M6,P3_D5,1.0
43,P3_D1_G1_M6_R2_T1,P3,7,4,7,4,7,5,7,7,4,3,3,7,5,5,,,7.0,4.333333333333333,5.666666666666666,D1,M6,R2,0.406331957729773,0.4383863975616394,0.1644948940382144,51.85940122624855,0.7192282337493827,0.3433859701235498,D1_M6,P3_D1,2.0
44,P3_D5_G1_M5_R2_T1,P3,6,6,7,7,7,7,7,7,6,2,3,7,7,7,,,7.0,5.333333333333333,6.166666666666666,D5,M5,R2,0.3357792882275158,0.3720820094876146,0.1599107560279503,51.81611765131447,0.7154256653602588,0.386137822405557,D5_M5,P3_D5,3.0
45,P3_D1_G1_M1_R2_T1,P3,7,4,7,4,7,5,7,7,4,3,3,7,5,5,,,7.0,4.333333333333333,5.666666666666666,D1,M1,R2,0.273862369732902,0.3204102118291523,0.14807467601601187,51.32774382810507,0.7259542810736145,0.3814511694920636,D1_M1,P3_D1,4.0
46,P4_D6_G2_M6_R1_T1,P4,2,1,1,7,1,1,7,1,7,7,7,1,2,2,,,1.0,6.0,3.5,D6,M6,R1,0.4372317986044737,0.4730857535807846,0.19974331614056484,51.621734408390864,0.7228748809726494,0.3536176868572962,D6_M6,P4_D6,0.0
47,P4_D5_G2_M6_R1_T1,P4,5,3,4,5,1,2,2,5,4,5,4,4,3,4,,,3.5,3.6666666666666665,3.583333333333333,D5,M6,R1,0.4153120008500419,0.4468730660639215,0.1903529929116458,51.823094499279,0.7261203864768708,0.4025091774811171,D5_M6,P4_D5,1.0
48,P4_D1_G2_M6_R1_T1,P4,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.19971851229316284,51.76264319068027,0.728084541290902,0.38898903954009634,D1_M6,P4_D1,2.0
49,P4_D5_G2_M5_R1_T1,P4,6,5,6,6,1,6,6,6,6,5,3,4,4,5,,,4.25,5.333333333333333,4.791666666666666,D5,M5,R1,0.3810441232301887,0.4013448957660061,0.17890689986954536,51.19038057645114,0.7222490164774906,0.3302523591786729,D5_M5,P4_D5,3.0
