Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
3.201429e-001,1.000060e-001,3.547371e+000,2.059982e+001,-1.154917e-002
3.220714e-001,1.031048e-001,3.558217e+000,2.060447e+001,-9.999795e-003
3.240000e-001,1.062035e-001,3.565964e+000,2.060757e+001,-1.154917e-002
3.259286e-001,1.108517e-001,3.573711e+000,2.060912e+001,-9.999795e-003
3.278571e-001,1.185986e-001,3.578359e+000,2.061377e+001,-9.999795e-003
3.297857e-001,1.247961e-001,3.581458e+000,2.061841e+001,-9.999795e-003
3.317143e-001,1.278948e-001,3.592303e+000,2.062151e+001,-1.154917e-002
3.336429e-001,1.247961e-001,3.600050e+000,2.062771e+001,-1.154917e-002
3.355714e-001,1.232467e-001,3.607797e+000,2.063391e+001,-1.154917e-002
3.375000e-001,1.263454e-001,3.618643e+000,2.064630e+001,-1.154917e-002
3.394286e-001,1.387405e-001,3.626390e+000,2.065715e+001,-1.154917e-002
3.413571e-001,1.542342e-001,3.634136e+000,2.066800e+001,-1.154917e-002
3.432857e-001,1.728268e-001,3.643433e+000,2.067574e+001,-1.154917e-002
3.452143e-001,1.883205e-001,3.646532e+000,2.068349e+001,-9.999795e-003
3.471429e-001,2.038143e-001,3.652729e+000,2.069123e+001,-1.154917e-002
3.490714e-001,2.193081e-001,3.658926e+000,2.070053e+001,-1.154917e-002
3.510000e-001,2.332525e-001,3.669772e+000,2.070828e+001,-1.154917e-002
3.529286e-001,2.518450e-001,3.679068e+000,2.071758e+001,-1.154917e-002
3.548571e-001,2.719869e-001,3.689914e+000,2.072687e+001,-9.999795e-003
3.567857e-001,2.905795e-001,3.696112e+000,2.073152e+001,-1.154917e-002
3.587143e-001,3.029745e-001,3.699210e+000,2.073927e+001,-1.154917e-002
3.606429e-001,3.076226e-001,3.705408e+000,2.074546e+001,-1.154917e-002
3.625714e-001,3.091720e-001,3.711605e+000,2.075631e+001,-1.154917e-002
3.645000e-001,3.184683e-001,3.716254e+000,2.076406e+001,-9.999795e-003
3.664286e-001,3.324127e-001,3.725550e+000,2.077335e+001,-1.154917e-002
3.683571e-001,3.417089e-001,3.736395e+000,2.078265e+001,-1.154917e-002
3.702857e-001,3.479064e-001,3.747241e+000,2.078885e+001,-1.154917e-002
3.722143e-001,3.494558e-001,3.758087e+000,2.079349e+001,-9.999795e-003
3.741429e-001,3.541040e-001,3.765834e+000,2.079194e+001,-1.154917e-002
3.760714e-001,3.587521e-001,3.772031e+000,2.079814e+001,-9.999795e-003
3.780000e-001,3.603015e-001,3.782877e+000,2.080124e+001,-1.154917e-002
3.799286e-001,3.618509e-001,3.795272e+000,2.081054e+001,-9.999795e-003
3.818571e-001,3.556533e-001,3.804568e+000,2.082603e+001,-9.999795e-003
3.837857e-001,3.525546e-001,3.812315e+000,2.084152e+001,-9.999795e-003
3.857143e-001,3.587521e-001,3.821611e+000,2.084927e+001,-1.154917e-002
3.876429e-001,3.726965e-001,3.827809e+000,2.085547e+001,-1.154917e-002
3.895714e-001,3.881903e-001,3.832457e+000,2.086012e+001,-9.999795e-003
3.915000e-001,3.943878e-001,3.834006e+000,2.086167e+001,-9.999795e-003
3.934286e-001,4.005853e-001,3.835556e+000,2.086322e+001,-9.999795e-003
3.953571e-001,4.129803e-001,3.840204e+000,2.086322e+001,-9.999795e-003
3.972857e-001,4.269247e-001,3.843302e+000,2.086012e+001,-1.309855e-002
3.992143e-001,4.393197e-001,3.849500e+000,2.085082e+001,-9.999795e-003
4.011429e-001,4.548135e-001,3.857247e+000,2.083843e+001,-1.309855e-002
4.030714e-001,4.858011e-001,3.868093e+000,2.082138e+001,-9.999795e-003
4.050000e-001,5.136899e-001,3.878938e+000,2.080744e+001,-1.154917e-002
4.069286e-001,5.431280e-001,3.889784e+000,2.079504e+001,-1.154917e-002
4.088571e-001,5.617206e-001,3.902179e+000,2.077645e+001,-1.154917e-002
4.107857e-001,5.787637e-001,3.909926e+000,2.075011e+001,-1.154917e-002
4.127143e-001,5.896094e-001,3.919222e+000,2.072377e+001,-1.154917e-002
4.146429e-001,5.958069e-001,3.923870e+000,2.069433e+001,-1.154917e-002
4.165714e-001,5.973563e-001,3.926969e+000,2.067419e+001,-1.154917e-002
4.185000e-001,5.989056e-001,3.930068e+000,2.065870e+001,-9.999795e-003
4.204286e-001,5.989056e-001,3.939364e+000,2.064785e+001,-1.154917e-002
4.223571e-001,5.973563e-001,3.950210e+000,2.063856e+001,-1.154917e-002
4.242857e-001,5.973563e-001,3.964154e+000,2.063391e+001,-1.154917e-002
4.262143e-001,6.035538e-001,3.975000e+000,2.063236e+001,-1.154917e-002
4.281429e-001,6.205969e-001,3.987395e+000,2.063081e+001,-1.309855e-002
4.300714e-001,6.438376e-001,4.002888e+000,2.063236e+001,-9.999795e-003
4.320000e-001,6.562326e-001,4.015284e+000,2.063081e+001,-9.999795e-003
4.339286e-001,6.763745e-001,4.024580e+000,2.062926e+001,-1.154917e-002
4.358571e-001,6.980658e-001,4.036974e+000,2.062926e+001,-9.999795e-003
4.377857e-001,7.135596e-001,4.044722e+000,2.063081e+001,-9.999795e-003
4.397143e-001,7.213064e-001,4.055567e+000,2.063236e+001,-9.999795e-003
4.416429e-001,7.275040e-001,4.061765e+000,2.063391e+001,-1.309855e-002
4.435714e-001,7.368003e-001,4.066413e+000,2.063856e+001,-9.999795e-003
4.455000e-001,7.460965e-001,4.077259e+000,2.064320e+001,-1.154917e-002
4.474286e-001,7.476459e-001,4.085005e+000,2.064630e+001,-1.154917e-002
4.493571e-001,7.414483e-001,4.094302e+000,2.065250e+001,-1.154917e-002
4.512857e-001,7.429978e-001,4.100499e+000,2.065560e+001,-1.154917e-002
4.532143e-001,7.538434e-001,4.111345e+000,2.066180e+001,-9.999795e-003
4.551429e-001,7.662384e-001,4.125289e+000,2.067729e+001,-1.154917e-002
4.570714e-001,7.755347e-001,4.137684e+000,2.070363e+001,-9.999795e-003
4.590000e-001,7.693372e-001,4.145431e+000,2.072687e+001,-1.154917e-002
4.609286e-001,7.522940e-001,4.153178e+000,2.074236e+001,-9.999795e-003
4.628571e-001,7.445471e-001,4.162474e+000,2.075786e+001,-9.999795e-003
4.647857e-001,7.414483e-001,4.177968e+000,2.076870e+001,-1.154917e-002
4.667143e-001,7.460965e-001,4.195011e+000,2.077645e+001,-1.154917e-002
4.686429e-001,7.460965e-001,4.210505e+000,2.078265e+001,-1.154917e-002
4.705714e-001,7.476459e-001,4.216702e+000,2.078730e+001,-1.154917e-002
4.725000e-001,7.460965e-001,4.221351e+000,2.078885e+001,-1.154917e-002
4.744286e-001,7.368003e-001,4.227548e+000,2.079349e+001,-9.999795e-003
4.763571e-001,7.166584e-001,4.232196e+000,2.079814e+001,-9.999795e-003
4.782857e-001,7.011645e-001,4.239943e+000,2.080279e+001,-9.999795e-003
4.802143e-001,6.918683e-001,4.247690e+000,2.080744e+001,-1.154917e-002
4.821429e-001,6.841214e-001,4.252338e+000,2.081364e+001,-1.154917e-002
4.840714e-001,6.810226e-001,4.258536e+000,2.081983e+001,-1.154917e-002
4.860000e-001,6.903189e-001,4.263184e+000,2.082603e+001,-9.999795e-003
4.879286e-001,7.073621e-001,4.269382e+000,2.082603e+001,-9.999795e-003
4.898571e-001,7.182077e-001,4.277128e+000,2.083068e+001,-1.154917e-002
4.917857e-001,7.213064e-001,4.287974e+000,2.083223e+001,-9.999795e-003
4.937143e-001,7.197571e-001,4.297270e+000,2.083843e+001,-1.309855e-002
4.956429e-001,7.151089e-001,4.305017e+000,2.083998e+001,-9.999795e-003
4.975714e-001,7.151089e-001,4.311214e+000,2.084462e+001,-9.999795e-003
4.995000e-001,7.151089e-001,4.323609e+000,2.084462e+001,-1.154917e-002
5.014286e-001,7.213064e-001,4.334455e+000,2.084772e+001,-9.999795e-003
5.033571e-001,7.244052e-001,4.346850e+000,2.085082e+001,-9.999795e-003
5.052857e-001,7.290534e-001,4.360795e+000,2.085547e+001,-1.154917e-002
5.072143e-001,7.429978e-001,4.371640e+000,2.086322e+001,-1.154917e-002
5.091429e-001,7.553928e-001,4.382486e+000,2.086477e+001,-1.309855e-002
5.110714e-001,7.646890e-001,4.396430e+000,2.086477e+001,-9.999795e-003
5.130000e-001,7.755347e-001,4.411924e+000,2.086786e+001,-1.154917e-002
5.149286e-001,7.724359e-001,4.427418e+000,2.087096e+001,-1.154917e-002
5.168571e-001,7.646890e-001,4.449109e+000,2.087871e+001,-9.999795e-003
5.187857e-001,7.507446e-001,4.464603e+000,2.088181e+001,-9.999795e-003
5.207143e-001,7.398990e-001,4.481646e+000,2.088491e+001,-1.154917e-002
5.226429e-001,7.337015e-001,4.500238e+000,2.088336e+001,-1.154917e-002
5.245714e-001,7.197571e-001,4.517282e+000,2.088181e+001,-1.154917e-002
5.265000e-001,6.903189e-001,4.532775e+000,2.088026e+001,-1.154917e-002
5.284286e-001,6.608807e-001,4.551368e+000,2.087406e+001,-1.154917e-002
5.303571e-001,6.345413e-001,4.571510e+000,2.086322e+001,-1.309855e-002
5.322857e-001,6.159488e-001,4.585454e+000,2.085857e+001,-1.154917e-002
