Name,Participant,GDSI,GMSI,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Artist,Dance_mode,Music_mode,Palo,Condition,Pair
P12_D6_G7_M6_R2_T2,G7,,,5,7,2,7,6,7,7,5,5.0,4,5,3,7,7,7.0,7.0,6.0,7.0,7.0,6.0,2.0,4.0,5.833333333333333,4.916666666666666,G,D6,M6,R2,D6_M6,P12_G7
P12_D6_G7_M6_R1_T1,P12,6.35,5.888888889,4,4,4,6,5,5,2,5,5.0,4,4,1,4,4,6.0,7.0,6.0,7.0,6.0,4.0,4.0,3.75,4.333333333333333,4.041666666666666,P,D6,M6,R1,D6_M6,P12_G7
P12_D5_G7_M6_R1_T1,P12,6.35,5.888888889,6,6,5,6,7,6,1,6,6.0,4,4,1,4,4,6.0,7.0,6.0,6.0,6.0,5.0,5.0,4.75,4.5,4.625,P,D5,M6,R1,D5_M6,P12_G7
P12_D1_G7_M6_R1_T1,P12,6.35,5.888888889,7,6,4,6,4,7,7,6,6.0,4,4,1,5,5,6.0,7.0,6.0,7.0,7.0,4.0,5.0,3.75,5.666666666666667,4.708333333333334,P,D1,M6,R1,D1_M6,P12_G7
P12_D5_G7_M5_R1_T1,P12,6.35,5.888888889,7,6,4,6,7,7,6,6,6.0,4,6,1,5,5,7.0,7.0,6.0,7.0,6.0,5.0,5.0,4.5,5.833333333333333,5.166666666666666,P,D5,M5,R1,D5_M5,P12_G7
P12_D1_G7_M1_R1_T1,P12,6.35,5.888888889,7,6,5,5,6,7,6,6,5.0,4,4,1,6,6,6.0,7.0,5.0,7.0,5.0,5.0,5.0,4.5,5.166666666666667,4.833333333333334,P,D1,M1,R1,D1_M1,P12_G7
P12_D6_G7_M6_R1_T2,P12,6.35,5.888888889,2,3,4,3,4,7,7,6,6.0,5,5,1,3,2,6.0,7.0,6.0,7.0,5.0,5.0,5.0,3.75,5.5,4.625,P,D6,M6,R1,D6_M6,P12_G7
P12_D6_G7_M6_R2_T1,P12,6.35,5.888888889,5,5,3,4,4,5,4,5,5.0,5,5,1,3,2,5.0,6.0,4.0,5.0,6.0,4.0,4.0,3.25,4.666666666666667,3.9583333333333335,P,D6,M6,R2,D6_M6,P12_G7
P12_D5_G7_M6_R2_T1,P12,6.35,5.888888889,6,6,3,6,7,7,6,6,6.0,5,6,1,5,4,6.0,7.0,6.0,6.0,6.0,5.0,4.0,4.25,6.0,5.125,P,D5,M6,R2,D5_M6,P12_G7
P12_D1_G7_M6_R2_T1,P12,6.35,5.888888889,7,6,3,5,5,6,6,6,5.0,3,6,1,5,4,7.0,7.0,6.0,6.0,6.0,5.0,5.0,3.75,5.166666666666667,4.458333333333334,P,D1,M6,R2,D1_M6,P12_G7
P12_D5_G7_M5_R2_T1,P12,6.35,5.888888889,7,6,5,6,5,5,3,6,6.0,2,5,1,5,5,6.0,6.0,5.0,6.0,6.0,5.0,6.0,4.25,4.5,4.375,P,D5,M5,R2,D5_M5,P12_G7
P12_D1_G7_M1_R2_T1,P12,6.35,5.888888889,7,6,5,5,6,6,2,6,5.0,4,5,1,5,5,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.5,4.5,4.5,P,D1,M1,R2,D1_M1,P12_G7
P12_D6_G7_M6_R2_T2,P12,6.35,5.888888889,4,5,4,6,4,6,5,6,4.0,4,5,1,4,4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.75,5.0,4.375,P,D6,M6,R2,D6_M6,P12_G7
P13_D0_G5_M6_R1_T1,G5,3.85,5.277777778,3,3,6,3,4,2,2,3,3.0,5,3,6,3,3,,,3.0,4.0,4.0,6.0,5.0,4.75,3.0,3.875,G,D0,M6,R1,D0_M6,P13_G5
P13_D6_G5_M6_R1_T1,G5,3.85,5.277777778,2,2,5,5,4,3,5,4,5.0,5,4,2,4,4,5.0,5.0,3.0,5.0,5.0,5.0,6.0,3.75,4.5,4.125,G,D6,M6,R1,D6_M6,P13_G5
P13_D5_G5_M6_R1_T1,G5,3.85,5.277777778,4,4,5,5,5,5,5,4,4.0,4,3,4,3,3,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.5,4.333333333333333,4.416666666666666,G,D5,M6,R1,D5_M6,P13_G5
P13_D1_G5_M6_R1_T1,G5,3.85,5.277777778,5,6,5,5,5,3,5,5,5.0,5,3,3,5,5,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.5,4.333333333333333,4.416666666666666,G,D1,M6,R1,D1_M6,P13_G5
P13_D5_G5_M5_R1_T1,G5,3.85,5.277777778,6,6,6,6,6,2,6,6,6.0,3,5,2,6,6,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,4.666666666666667,4.833333333333334,G,D5,M5,R1,D5_M5,P13_G5
P13_D1_G5_M1_R1_T1,G5,3.85,5.277777778,6,6,6,5,5,3,4,5,6.0,6,4,5,5,5,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.25,4.666666666666667,4.958333333333334,G,D1,M1,R1,D1_M1,P13_G5
P13_D6_G5_M6_R1_T2,G5,3.85,5.277777778,4,4,5,4,3,5,5,5,4.0,5,3,3,3,3,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.333333333333333,4.166666666666666,G,D6,M6,R1,D6_M6,P13_G5
P13_D0_G5_M6_R2_T1,G5,3.85,5.277777778,5,4,5,4,6,3,3,4,5.0,6,3,5,4,4,7.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,4.5,G,D0,M6,R2,D0_M6,P13_G5
P13_D6_G5_M6_R2_T1,G5,3.85,5.277777778,2,4,5,7,5,5,6,6,6.0,5,6,2,5,4,6.0,6.0,6.0,6.0,4.0,4.0,6.0,4.5,5.833333333333333,5.166666666666666,G,D6,M6,R2,D6_M6,P13_G5
P13_D5_G5_M6_R2_T1,G5,3.85,5.277777778,2,4,4,6,5,5,6,6,6.0,5,5,2,4,4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.25,5.5,4.875,G,D5,M6,R2,D5_M6,P13_G5
P13_D1_G5_M6_R2_T1,G5,3.85,5.277777778,6,6,6,6,6,6,6,6,6.0,6,6,2,6,6,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.5,G,D1,M6,R2,D1_M6,P13_G5
P13_D5_G5_M5_R2_T1,G5,3.85,5.277777778,6,6,6,6,6,6,6,6,6.0,4,6,2,6,6,7.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,5.666666666666667,5.333333333333334,G,D5,M5,R2,D5_M5,P13_G5
P13_D1_G5_M1_R2_T1,G5,3.85,5.277777778,7,7,5,7,6,2,6,6,6.0,3,6,2,7,7,7.0,7.0,6.0,7.0,7.0,6.0,6.0,4.75,5.0,4.875,G,D1,M1,R2,D1_M1,P13_G5
P13_D6_G5_M6_R2_T2,G5,3.85,5.277777778,4,4,5,6,5,2,6,6,5.0,6,5,3,5,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.75,5.0,4.875,G,D6,M6,R2,D6_M6,P13_G5
P13_D6_G5_M6_R1_T1,P13,6.2,5.611111111,4,1,3,3,5,2,2,4,4.0,2,3,5,2,2,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.25,2.6666666666666665,3.458333333333333,P,D6,M6,R1,D6_M6,P13_G5
P13_D5_G5_M6_R1_T1,P13,6.2,5.611111111,7,4,4,2,5,5,5,4,7.0,1,3,2,4,4,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.75,3.8333333333333335,3.791666666666667,P,D5,M6,R1,D5_M6,P13_G5
P13_D1_G5_M6_R1_T1,P13,6.2,5.611111111,7,5,7,4,7,7,7,7,7.0,1,4,1,5,6,6.0,5.0,7.0,7.0,5.0,6.0,6.0,5.5,5.0,5.25,P,D1,M6,R1,D1_M6,P13_G5
P13_D5_G5_M5_R1_T1,P13,6.2,5.611111111,7,3,3,4,3,3,3,4,6.0,1,2,4,1,2,4.0,4.0,4.0,6.0,6.0,4.0,3.0,3.5,3.1666666666666665,3.333333333333333,P,D5,M5,R1,D5_M5,P13_G5
P13_D1_G5_M1_R1_T1,P13,6.2,5.611111111,7,2,3,4,4,2,2,2,4.0,1,1,4,2,2,3.0,6.0,6.0,4.0,3.0,3.0,3.0,3.25,2.3333333333333335,2.791666666666667,P,D1,M1,R1,D1_M1,P13_G5
P13_D6_G5_M6_R1_T2,P13,6.2,5.611111111,1,4,4,3,5,4,4,6,6.0,7,6,2,6,6,7.0,7.0,6.0,,5.0,4.0,4.0,4.25,5.0,4.625,P,D6,M6,R1,D6_M6,P13_G5
P13_D6_G5_M6_R2_T1,P13,6.2,5.611111111,1,4,1,6,7,6,6,7,7.0,7,7,1,4,4,6.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,6.5,5.25,P,D6,M6,R2,D6_M6,P13_G5
P13_D5_G5_M6_R2_T1,P13,6.2,5.611111111,6,4,4,5,6,6,6,7,7.0,2,4,1,3,3,6.0,6.0,1.0,6.0,5.0,5.0,5.0,4.5,5.0,4.75,P,D5,M6,R2,D5_M6,P13_G5
P13_D1_G5_M6_R2_T1,P13,6.2,5.611111111,7,7,6,4,4,7,7,7,7.0,7,7,1,5,5,5.0,7.0,7.0,7.0,7.0,6.0,4.0,4.5,6.5,5.5,P,D1,M6,R2,D1_M6,P13_G5
P13_D5_G5_M5_R2_T1,P13,6.2,5.611111111,4,3,3,4,2,4,4,2,5.0,1,2,2,2,3,5.0,5.0,5.0,3.0,3.0,4.0,4.0,2.25,3.3333333333333335,2.791666666666667,P,D5,M5,R2,D5_M5,P13_G5
P13_D1_G5_M1_R2_T1,P13,6.2,5.611111111,5,5,6,3,7,7,7,7,6.0,6,4,1,6,6,6.0,7.0,7.0,7.0,7.0,6.0,6.0,5.25,5.5,5.375,P,D1,M1,R2,D1_M1,P13_G5
P13_D6_G5_M6_R2_T2,P13,6.2,5.611111111,2,4,4,6,7,7,6,6,4.0,7,7,1,4,4,7.0,6.0,4.0,7.0,4.0,3.0,3.0,4.5,6.166666666666667,5.333333333333334,P,D6,M6,R2,D6_M6,P13_G5
