Name,Participant,GDSI,GMSI,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Artist,Dance_mode,Music_mode,Palo,Condition,Pair
P6_D6_G1_M6_R2_T1,P6,6.7,3.666666667,5,5,6,5,3,3,6,6,4.0,4,5,1,5,6,7.0,7.0,,,,,,4.0,4.5,4.25,P,D6,M6,R2,D6_M6,P6_G1
P6_D5_G1_M6_R2_T1,P6,6.7,3.666666667,7,6,6,6,1,1,2,6,6.0,4,6,1,6,6,7.0,7.0,,,,,,3.5,4.166666666666667,3.8333333333333335,P,D5,M6,R2,D5_M6,P6_G1
P6_D1_G1_M6_R2_T1,P6,6.7,3.666666667,7,5,7,6,1,2,5,6,6.0,2,6,1,6,6,7.0,7.0,,,,,,3.75,4.5,4.125,P,D1,M6,R2,D1_M6,P6_G1
P6_D1_G1_M1_R2_T1,P6,6.7,3.666666667,7,6,7,6,1,1,2,7,7.0,3,6,1,6,6,7.0,7.0,,,,,,4.0,4.166666666666667,4.083333333333334,P,D1,M1,R2,D1_M1,P6_G1
P6_D0_G1_M6_R1_T1,G1,3.2,6.444444444,2,4,2,7,3,1,7,7,7.0,6,6,1,7,7,,,,,,,,3.25,5.666666666666667,4.458333333333334,G,D0,M6,R1,D0_M6,P6_G1
P6_D6_G1_M6_R1_T1,G1,3.2,6.444444444,2,4,2,7,3,1,7,7,7.0,6,6,1,7,7,7.0,7.0,,,,,,3.25,5.666666666666667,4.458333333333334,G,D6,M6,R1,D6_M6,P6_G1
P6_D5_G1_M6_R1_T1,G1,3.2,6.444444444,4,4,4,5,4,3,4,6,5.0,4,4,2,5,5,5.0,5.0,,,,,,4.0,4.166666666666667,4.083333333333334,G,D5,M6,R1,D5_M6,P6_G1
P6_D1_G1_M6_R1_T1,G1,3.2,6.444444444,3,4,3,7,4,1,7,7,7.0,5,6,1,7,7,7.0,7.0,,,,,,3.75,5.5,4.625,G,D1,M6,R1,D1_M6,P6_G1
P6_D5_G1_M5_R1_T1,G1,3.2,6.444444444,6,6,4,4,4,2,6,7,6.0,2,5,1,6,6,7.0,7.0,,,,,,4.0,4.166666666666667,4.083333333333334,G,D5,M5,R1,D5_M5,P6_G1
P6_D1_G1_M1_R1_T1,G1,3.2,6.444444444,7,7,7,7,2,1,7,7,7.0,2,7,1,7,7,7.0,7.0,,,,,,4.25,5.166666666666667,4.708333333333334,G,D1,M1,R1,D1_M1,P6_G1
P6_D0_G1_M6_R2_T1,G1,3.2,6.444444444,1,1,1,7,2,1,7,7,7.0,7,7,1,7,7,,,,,,,,2.75,6.0,4.375,G,D0,M6,R2,D0_M6,P6_G1
P6_D6_G1_M6_R2_T1,G1,3.2,6.444444444,2,2,2,6,4,6,6,6,6.0,5,5,1,6,5,6.0,6.0,,,,,,3.25,5.666666666666667,4.458333333333334,G,D6,M6,R2,D6_M6,P6_G1
P6_D5_G1_M6_R2_T1,G1,3.2,6.444444444,3,3,3,5,4,5,5,5,5.0,3,5,5,4,4,5.0,5.0,,,,,,4.25,4.666666666666667,4.458333333333334,G,D5,M6,R2,D5_M6,P6_G1
P6_D1_G1_M6_R2_T1,G1,3.2,6.444444444,2,2,2,6,3,2,6,6,6.0,5,6,2,6,5,6.0,6.0,,,,,,3.25,5.166666666666667,4.208333333333334,G,D1,M6,R2,D1_M6,P6_G1
P6_D1_G1_M1_R2_T1,G1,3.2,6.444444444,7,7,2,6,3,1,7,7,7.0,3,6,1,7,7,7.0,7.0,,,,,,3.25,5.0,4.125,G,D1,M1,R2,D1_M1,P6_G1
P7_D0_G1_M6_R1_T1,G1,3.2,6.444444444,2,2,1,7,4,1,7,7,7.0,7,7,1,6,6,,,,,,,,3.25,6.0,4.625,G,D0,M6,R1,D0_M6,P7_G1
P7_D6_G1_M6_R1_T1,G1,3.2,6.444444444,2,2,2,6,4,2,6,7,6.0,7,5,1,4,4,5.0,5.0,,,,,,3.5,5.333333333333333,4.416666666666666,G,D6,M6,R1,D6_M6,P7_G1
P7_D5_G1_M6_R1_T1,G1,3.2,6.444444444,2,2,2,6,3,1,7,7,7.0,7,7,1,7,7,7.0,7.0,,,,,,3.25,5.833333333333333,4.541666666666666,G,D5,M6,R1,D5_M6,P7_G1
P7_D1_G1_M6_R1_T1,G1,3.2,6.444444444,2,2,3,6,3,2,6,7,6.0,5,5,1,5,6,6.0,6.0,,,,,,3.5,5.0,4.25,G,D1,M6,R1,D1_M6,P7_G1
P7_D5_G1_M5_R1_T1,G1,3.2,6.444444444,5,4,5,3,7,7,1,3,2.0,2,2,2,1,1,4.0,4.0,,,,,,4.25,2.8333333333333335,3.541666666666667,G,D5,M5,R1,D5_M5,P7_G1
P7_D1_G1_M1_R1_T1,G1,3.2,6.444444444,6,6,2,6,2,2,6,7,6.0,2,6,1,6,6,7.0,6.0,,,,,,3.0,4.666666666666667,3.8333333333333335,G,D1,M1,R1,D1_M1,P7_G1
P7_D0_G1_M6_R2_T1,G1,3.2,6.444444444,3,3,2,2,7,5,3,1,7.0,4,4,3,1,1,,,,,,,,3.25,4.166666666666667,3.7083333333333335,G,D0,M6,R2,D0_M6,P7_G1
P7_D6_G1_M6_R2_T1,G1,3.2,6.444444444,4,2,1,2,7,2,2,2,6.0,6,6,4,3,3,6.0,7.0,,,,,,3.5,4.0,3.75,G,D6,M6,R2,D6_M6,P7_G1
