Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,CTW
P6_D5_G1_M6_R1_T1,G1,4,4,4,5,4,5,4,6,5,4,4,2,5,5,5.0,5.0,4.0,4.5,4.25,D5,M6,R1,0.4087686412661387,0.4365298301816184
P6_D1_G1_M6_R1_T1,G1,3,4,3,7,4,7,7,7,7,5,6,1,7,7,7.0,7.0,3.75,6.5,5.125,D1,M6,R1,0.4234811694314264,0.4521783774864642
P6_D5_G1_M5_R1_T1,G1,6,6,4,4,4,6,6,7,6,2,5,1,6,6,7.0,7.0,4.0,4.833333333333333,4.416666666666666,D5,M5,R1,0.4196534647937633,0.4526816998128957
P6_D1_G1_M1_R1_T1,G1,7,7,7,7,6,7,7,7,7,2,7,1,7,7,7.0,7.0,5.25,6.166666666666667,5.708333333333334,D1,M1,R1,0.4316768109915129,0.4540693506079754
P6_D0_G1_M6_R2_T1,G1,1,1,1,7,6,7,7,7,7,7,7,1,7,7,,,3.75,7.0,5.375,D0,M6,R2,0.4594999068852529,0.4739806463771012
P6_D6_G1_M6_R2_T1,G1,2,2,2,6,4,2,6,6,6,5,5,1,6,5,6.0,6.0,3.25,5.0,4.125,D6,M6,R2,0.4070025691001354,0.4290813621753409
P6_D5_G1_M6_R2_T1,G1,3,3,3,5,4,3,5,5,5,3,5,5,4,4,5.0,5.0,4.25,4.333333333333333,4.291666666666666,D5,M6,R2,0.4330572553794659,0.4579882861866292
P6_D1_G1_M6_R2_T1,G1,2,2,2,6,5,6,6,6,6,5,6,2,6,5,6.0,6.0,3.75,5.833333333333333,4.791666666666666,D1,M6,R2,0.4275020635374809,0.4522477650112617
P6_D1_G1_M1_R2_T1,G1,7,7,2,6,5,7,7,7,7,3,6,1,7,7,7.0,7.0,3.75,6.0,4.875,D1,M1,R2,0.4458327276101986,0.4661779226526266
P7_D0_G1_M6_R1_T1,G1,2,2,1,7,4,7,7,7,7,7,7,1,6,6,,,3.25,7.0,5.125,D0,M6,R1,0.4804694888518984,0.5108563966850909
P7_D6_G1_M6_R1_T1,G1,2,2,2,6,4,6,6,7,6,7,5,1,4,4,5.0,5.0,3.5,6.0,4.75,D6,M6,R1,0.4699427330786599,0.5115695533090171
P7_D5_G1_M6_R1_T1,G1,2,2,2,6,5,7,7,7,7,7,7,1,7,7,7.0,7.0,3.75,6.833333333333333,5.291666666666666,D5,M6,R1,0.4670114190175631,0.5068135747275513
P7_D1_G1_M6_R1_T1,G1,2,2,3,6,5,6,6,7,6,5,5,1,5,6,6.0,6.0,4.0,5.666666666666667,4.833333333333334,D1,M6,R1,0.4692587637256424,0.5120755328332165
P7_D5_G1_M5_R1_T1,G1,5,4,5,3,1,1,1,3,2,2,2,2,1,1,4.0,4.0,2.75,1.8333333333333333,2.2916666666666665,D5,M5,R1,0.4414720022212243,0.4843734411462473
P7_D1_G1_M1_R1_T1,G1,6,6,2,6,6,6,6,7,6,2,6,1,6,6,7.0,6.0,4.0,5.333333333333333,4.666666666666666,D1,M1,R1,,
P7_D0_G1_M6_R2_T1,G1,3,3,2,2,1,3,3,1,7,4,4,3,1,1,,,1.75,3.8333333333333335,2.791666666666667,D0,M6,R2,0.480788115867601,0.5011345532759733
P7_D6_G1_M6_R2_T1,G1,4,2,1,2,1,6,2,2,6,6,6,4,3,3,6.0,7.0,2.0,4.666666666666667,3.333333333333333,D6,M6,R2,0.518780265745722,0.5545650958315153
P7_D5_G1_M6_R2_T1,G1,2,2,1,6,5,7,6,7,7,7,7,1,6,6,7.0,7.0,3.5,6.666666666666667,5.083333333333334,D5,M6,R2,0.5191092094011314,0.5461172376145711
P7_D1_G1_M6_R2_T1,G1,3,3,2,4,4,6,6,7,7,6,7,1,6,6,7.0,7.0,3.5,6.0,4.75,D1,M6,R2,0.4787628057481339,0.5091790046108774
P7_D5_G1_M5_R2_T1,G1,4,4,1,7,5,7,6,7,7,7,7,1,6,6,7.0,7.0,3.5,6.833333333333333,5.166666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914
P7_D1_G1_M1_R2_T1,G1,7,6,1,6,7,2,5,7,7,7,7,1,7,7,7.0,7.0,4.0,5.666666666666667,4.833333333333334,D1,M1,R2,0.4716307707869518,0.5045960384967937
P7_D6_G1_M6_R1_T1,P7,3,4,6,4,7,4,3,6,4,3,5,2,5,5,6.0,5.0,5.25,3.8333333333333335,4.541666666666667,D6,M6,R1,0.4699427330786599,0.5115695533090171
P7_D5_G1_M6_R1_T1,P7,6,5,2,4,7,6,5,5,4,4,3,1,5,6,6.0,6.0,3.75,4.333333333333333,4.041666666666666,D5,M6,R1,0.4670114190175631,0.5068135747275513
P7_D1_G1_M6_R1_T1,P7,7,5,4,6,7,7,4,6,7,4,6,1,6,7,6.0,6.0,4.5,5.666666666666667,5.083333333333334,D1,M6,R1,0.4692587637256424,0.5120755328332165
P7_D5_G1_M5_R1_T1,P7,6,6,1,4,7,7,4,5,5,1,2,1,6,6,6.0,6.0,3.5,3.8333333333333335,3.666666666666667,D5,M5,R1,0.4414720022212243,0.4843734411462473
P7_D1_G1_M1_R1_T1,P7,7,7,1,6,7,7,6,6,6,1,4,1,6,6,7.0,7.0,3.75,5.0,4.375,D1,M1,R1,,
P7_D6_G1_M6_R2_T1,P7,3,4,3,5,4,7,7,7,7,4,5,1,5,6,7.0,7.0,3.75,5.833333333333333,4.791666666666666,D6,M6,R2,0.518780265745722,0.5545650958315153
P7_D5_G1_M6_R2_T1,P7,6,6,1,6,7,7,1,7,7,7,7,1,7,7,6.0,6.0,4.0,5.833333333333333,4.916666666666666,D5,M6,R2,0.5191092094011314,0.5461172376145711
P7_D1_G1_M6_R2_T1,P7,7,7,2,7,7,7,7,7,7,7,7,1,7,7,7.0,7.0,4.25,7.0,5.625,D1,M6,R2,0.4787628057481339,0.5091790046108774
P7_D5_G1_M5_R2_T1,P7,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914
P7_D1_G1_M1_R2_T1,P7,7,7,1,7,7,2,7,7,7,7,7,1,7,7,7.0,7.0,4.0,6.166666666666667,5.083333333333334,D1,M1,R2,0.4716307707869518,0.5045960384967937
