t_onset,int_onset
212.55,-19.607
212.97,-8.1809
213.66,-20.12
213.82,-25.02
213.94,-4.6983
214.5,-22.205
214.59,-20.591
214.78,-21.322
214.93,-4.1845
215.56,-18.094
215.87,-11.403
216.21,-22.103
216.4,-20.69
216.79,-7.218
217.28,-17.472
217.59,-22.13
217.73,-5.0608
218.27,-18.657
218.36,-17.961
218.54,-20.052
218.68,-6.9296
219.15,-18.395
219.42,-15.401
219.59,-7.7724
220.03,-17.264
220.36,-19.619
220.52,-11.189
220.68,-5.9334
220.99,-8.5106
221.31,-18.165
221.43,-13.252
221.6,-11.33
221.89,-6.3457
222.21,-18.418
222.34,-11.015
222.5,-8.908
222.8,-6.6116
223.23,-8.979
223.53,-13.866
223.7,-17.222
224.12,-7.7709
224.29,-6.0509
224.57,-2.974
225.0,-12.512
225.16,-10.965
225.45,-7.0416
225.9,-14.718
226.07,-13.107
226.36,-4.5206
226.79,-10.279
227.39,-19.211
227.51,-20.83
227.65,-8.8243
227.83,-12.591
228.13,-3.856
228.58,-12.474
228.76,-6.2237
229.04,-7.2651
229.44,-9.1638
229.62,-5.2828
229.91,-6.334
230.35,-15.777
230.49,-8.4057
230.79,-8.4999
231.11,-16.918
231.25,-11.044
231.41,-7.7472
231.68,-8.5026
232.11,-13.335
232.28,-12.249
232.55,-10.784
232.84,-8.0181
233.15,-5.6794
233.32,-8.5336
233.58,-14.852
233.91,-19.664
234.19,-4.244
234.5,-9.1923
234.81,-6.9806
235.15,-15.94
235.43,-16.573
235.74,-11.859
236.06,-16.865
236.3,-18.849
236.4,-18.471
236.61,-16.671
236.96,-10.572
237.25,-9.0513
237.58,-11.412
238.05,-18.07
238.34,-21.477
238.65,-21.322
238.95,-21.896
239.12,-22.598
239.28,-25.343
239.41,-18.21
239.87,-19.887
240.34,-4.2954
240.66,-2.6439
242.48,-42.093
242.87,-42.883
243.33,-46.496
243.88,-46.78
244.24,-41.826
244.57,-43.157
245.58,-50.946
245.69,-46.707
246.04,-40.076
246.42,-35.617
246.85,-42.532
247.16,-40.102
247.37,-32.493
247.78,-41.825
247.98,-35.704
248.49,-34.569
248.9,-34.49
249.02,-36.375
249.34,-30.405
249.75,-42.939
249.85,-24.772
250.22,-33.703
250.29,-34.442
250.64,-26.227
251.24,-25.508
251.8,-33.85
252.22,-42.882
252.33,-22.022
252.76,-32.073
252.84,-34.398
253.23,-28.221
253.63,-35.075
253.88,-39.775
254.06,-29.229
254.36,-31.536
254.54,-30.645
254.81,-33.182
255.06,-23.612
255.57,-24.048
255.93,-28.422
256.04,-31.018
256.17,-33.401
256.5,-36.01
256.59,-34.448
256.99,-32.231
257.07,-32.826
