Time,Time,Sum Acc X,Sum Acc Y,Sum Acc Z
70.6185,70.6185,39.696574467675404,43.135248346407415,26.620809945775857
70.6253,70.6253,40.271171390650956,43.4801424369156,27.420588492337302
70.632,70.632,40.78376985111901,43.743725539534914,28.56724987560761
70.6388,70.6388,41.15450785336077,43.87417343484881,29.902020308131167
70.6455,70.6455,41.34522906970145,43.89837871621134,31.27273574060889
70.6523,70.6523,41.35271070716456,44.071555827413526,32.55406683811958
70.659,70.659,41.506027751816255,44.366579235494925,33.66103719470241
70.6658,70.6658,41.7812064712253,44.742618589464776,34.554018883639806
70.6725,70.6725,42.131147306146666,45.15417614382157,35.23540837898859
70.6793,70.6793,42.50801425577759,45.55956398630812,35.73999408075349
70.686,70.686,42.86924656834399,45.92694523393575,36.121941497491484
70.6928,70.6928,43.181461779184566,46.237126090161176,36.44141350619969
70.6995,70.6995,43.42213814955926,46.483171356271875,36.75309397816736
70.7063,70.7063,43.57961155875364,46.66755310975413,37.097945931133424
70.713,70.713,43.6520904646724,46.79807976952202,37.49891707676715
70.7198,70.7198,43.657804137306755,46.88384329619134,37.96067227884408
70.7265,70.7265,43.72753280711807,46.93197723438618,38.472625052495175
70.7333,70.7333,43.841091090094196,46.945554870739706,39.01394021383711
70.74,70.74,43.97393474093244,46.96852205007863,39.55900857255529
70.7468,70.7468,44.098699589067984,47.03519134213199,40.08213158138365
70.7535,70.7535,44.18632862862507,47.157270649404076,40.56077506558184
70.7603,70.7603,44.20700605406591,47.3497027859705,40.97741901615401
70.767,70.767,44.28266156801989,47.62855569775649,41.320355187615476
70.7738,70.7738,44.48166404574668,48.00828066268846,41.583860312714044
70.7805,70.7805,44.82573084303154,48.49903964168062,41.76806969581755
70.7873,70.7873,45.327642145790676,49.10505112729853,41.8785973003592
70.794,70.794,45.98819926228462,49.82455188463128,41.925570659505986
70.8008,70.8008,46.79646982850769,50.650280504610436,41.92982466300392
70.8075,70.8075,47.73358148747147,51.56856624554869,41.973835331678664
70.8143,70.8143,48.775373022695895,52.5583224720496,42.04793863940036
70.821,70.821,49.891845844033526,53.59295666997706,42.142713226612976
70.8278,70.8278,51.046799774812506,54.64473443989632,42.24790871865915
70.8345,70.8345,52.19906960894759,55.689219250595954,42.35268670749639
70.8413,70.8413,53.30454397761561,56.70851201878418,42.445819382223824
70.848,70.848,54.31965392735308,57.691210589068724,42.51577311191148
70.8548,70.8548,55.204044842993774,58.624219871772276,42.5490755481878
70.8615,70.8615,55.91493869181114,59.47244404428057,42.57381820718783
70.8683,70.8683,56.38920059793999,60.1517608286358,42.68885995443276
70.875,70.875,56.52475310479951,60.51775953100221,42.92469432340619
