,Name,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,var_entropy,var_entropy_avg
1990,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A2,6.1,5.0,4.416666666666667,5.0,4.714285714285714,0.0006453183779761999,0.005982892142331,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.7028118003313935,0.6782380324387051,8.480619894406526e-05,0.0023815164817677717,0.3773358933600136,0.4932002381077627,38.20618258320019,45.091775742001815
1991,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A2,6.2,5.0,4.416666666666667,5.0,4.714285714285714,0.0006453183779761998,0.0059828921423309995,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6772323751834505,0.6782380324387051,0.00028170379669642575,0.0023815164817677717,0.3383664993776783,0.4932002381077627,41.59299451308747,45.091775742001815
1992,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A3,6.3,5.695132337316878,4.416666666666667,5.0,4.714285714285714,0.0006453183779761999,0.005982892142331,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6569782705978557,0.6782380324387051,0.0006250909742752922,0.0023815164817677717,0.2659871125487064,0.4932002381077627,43.01538986453491,45.091775742001815
1993,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A3,6.4,6.0,4.416666666666667,5.0,4.714285714285714,0.0006453183779761999,0.005982892142331,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6429692100593881,0.6782380324387051,0.0006316551220581559,0.0023815164817677717,0.38810242170047665,0.4932002381077627,42.70641345517291,45.091775742001815
1994,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A2,6.5,6.0,4.416666666666667,5.0,4.714285714285714,0.026651292321767703,0.021484021783825066,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6509589854674613,0.6782380324387051,0.00060287354502731,0.0023815164817677717,0.7500684705881842,0.4932002381077627,43.09484571600748,45.091775742001815
1995,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A1,6.6,4.947983727860918,4.416666666666667,5.676947913511127,4.714285714285714,0.3038721776572421,0.1889596768286221,IMP1,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6762557768557418,0.6782380324387051,0.004032013003303206,0.0023815164817677717,0.20793033329064362,0.4932002381077627,48.667156981379755,45.091775742001815
1996,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A1,6.7,5.0,4.416666666666667,6.0,4.714285714285714,0.42061184863490375,0.33884925497020363,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.7155472851053448,0.6782380324387051,0.008384760030110731,0.0023815164817677717,0.9877681540001746,0.4932002381077627,50.7411241481077,45.091775742001815
1997,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A2,6.8,4.659141343999131,4.416666666666667,3.5061211564678993,4.714285714285714,0.00120183542834279,0.0065811813565641005,IMP1,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6389379850450698,0.6782380324387051,0.0012067044116222732,0.0023815164817677717,0.4538389639826986,0.4932002381077627,42.40954811482443,45.091775742001815
1998,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z1,A2,6.9,4.062598509480159,4.416666666666667,4.385709359900159,4.714285714285714,0.0046422145263192265,0.008974338213496517,IMP1,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6262097341899288,0.6782380324387051,0.0005323419876658924,0.0023815164817677717,1.1327579386014004,0.4932002381077627,42.818288822435115,45.091775742001815
1999,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A2,6.1,5.584434069994077,4.416666666666667,5.0,4.714285714285714,0.06161217440473351,0.05384602928097937,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.669003068293839,0.6782380324387051,0.0010385971345428877,0.0023815164817677717,0.3501956735690094,0.4932002381077627,44.92982473047428,45.091775742001815
2000,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A2,6.11,5.745012175738335,4.416666666666667,5.0,4.714285714285714,0.048164253363912106,0.03480955428265331,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6697917668191329,0.6782380324387051,0.0012671807223920044,0.0023815164817677717,0.26217076344848284,0.4932002381077627,45.92702504509396,45.091775742001815
2001,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A1,6.12,2.614767181210557,4.416666666666667,5.0,4.714285714285714,0.11587405391630937,0.10687620963345902,IMP0,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.6930968059129468,0.6782380324387051,0.0018716670065120587,0.0023815164817677717,0.22478755994578753,0.4932002381077627,46.44624805928751,45.091775742001815
2002,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A1,6.13,5.0,4.416666666666667,5.0,4.714285714285714,0.586899103330343,0.5248325940411509,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.7216446785823867,0.6782380324387051,0.007959335845405967,0.0023815164817677717,0.1894746498833125,0.4932002381077627,51.75787427709874,45.091775742001815
2003,P5_D1_G3_M1_R2_T1,G3,MI,DI,Z3,A1,6.14,5.0,4.416666666666667,5.0,4.714285714285714,0.49361574090710025,0.4260673904217178,IMP2,2.0,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,5.5,5.166666666666667,5.333333333333334,D1,M1,R2,0.1820979891582197,0.2112683161174714,0.7214509022397078,0.6782380324387051,0.009089010623767643,0.0023815164817677717,0.6907922877848695,0.4932002381077627,52.98386498968675,45.091775742001815
2004,P5_D5_G3_M5_R2_T1,G3,MI,DI,Z3,A1,6.1,2.6777077055101275,3.875,5.0,4.666666666666667,0.21610825135337178,0.1830764995553299,IMP0,1.0,6,3,3,4,7,3,3,6,2,2,2,1,5,6,7.0,2.0,4.25,2.6666666666666665,3.458333333333333,D5,M5,R2,0.2669680635100933,0.3020643025832084,0.6937354644672895,0.6963742175706752,0.004502992602457773,0.004155176580479883,0.14356114701164008,0.44754850956638137,51.27194876629479,47.941588230811966
2005,P5_D5_G3_M5_R2_T1,G3,MI,DI,Z3,A1,6.1,5.0,3.875,5.0,4.666666666666667,0.3274094996255097,0.296901022563178,IMP2,1.0,6,3,3,4,7,3,3,6,2,2,2,1,5,6,7.0,2.0,4.25,2.6666666666666665,3.458333333333333,D5,M5,R2,0.2669680635100933,0.3020643025832084,0.706501868214054,0.6963742175706752,0.008042129052436014,0.004155176580479883,0.16073468759999437,0.44754850956638137,51.75330267290015,47.941588230811966
