,Name,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,var_entropy,var_entropy_avg,Condition,Condition_order
23,P3_D1_G1_M1_R1_T1,P3,MI,DC,Z3,A1,2.5,3.76980434878189,4.325,3.9640287710488025,4.040816326530612,0.4503995146000782,0.386458411433259,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7843238571370758,0.7552472589148073,0.0186372011203586,0.0127237898652493,0.1874836880973701,0.2864732539068569,54.05484208893019,52.96057679527599,D1_M1,4.0
24,P3_D1_G1_M1_R1_T1,P3,MI,DC,Z3,A1,2.6,3.3665479867629062,4.325,4.841654101279932,4.040816326530612,0.547854632598126,0.4929654431814418,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7955280954842676,0.7552472589148073,0.0233159081160244,0.0127237898652493,0.2340489356979192,0.2864732539068569,54.41582146230405,52.96057679527599,D1_M1,4.0
25,P3_D1_G1_M1_R1_T1,P3,MI,DC,Z3,A1,2.7,3.435541189133679,4.325,5.934025622140628,4.040816326530612,0.3866038326577135,0.3144659333448801,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7856101819941184,0.7552472589148073,0.0191356941056168,0.0127237898652493,0.2006329144295705,0.2864732539068569,53.54873640583915,52.96057679527599,D1_M1,4.0
26,P3_D1_G1_M1_R1_T1,P3,MI,DC,Z3,A2,2.8,3.6431785016541087,4.325,5.1769325594747455,4.040816326530612,0.2250567288194479,0.1031950291242621,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7627763034806387,0.7552472589148073,0.0087631164220552,0.0127237898652493,0.2058467855407552,0.2864732539068569,52.67029939681738,52.96057679527599,D1_M1,4.0
27,P3_D1_G1_M1_R1_T1,P3,MI,DC,Z3,A1,2.9,3.921487396894864,4.325,4.393280097743615,4.040816326530612,0.4640307169850517,0.3102823510830857,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7837160953988285,0.7552472589148073,0.0169924499255812,0.0127237898652493,0.2240732629377243,0.2864732539068569,54.33315742765452,52.96057679527599,D1_M1,4.0
28,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z3,A1,2.39,5.305011968449344,4.325,6.329465873970385,4.040816326530612,0.5990844299987025,0.4469460383017034,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7872787564283333,0.7552472589148073,0.0238638503778973,0.0127237898652493,0.394502576418056,0.2864732539068569,56.04228687413254,52.96057679527599,D1_M1,4.0
29,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z2,A3,2.4,5.31339731779866,4.325,4.8367501442262535,4.040816326530612,0.0102100118128075,0.0097616919441869,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7354236902811317,0.7552472589148073,0.0058091666541237,0.0127237898652493,0.3871010738508855,0.2864732539068569,50.80983935752126,52.96057679527599,D1_M1,4.0
30,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z3,A3,2.41,5.208100069213205,4.325,3.313539593046683,4.040816326530612,0.0491381468946796,0.041138558907645,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7241802715312015,0.7552472589148073,0.005605940251925,0.0127237898652493,0.314412032170582,0.2864732539068569,52.084717311329776,52.96057679527599,D1_M1,4.0
31,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z2,A3,2.42,5.009049749542104,4.325,3.9755146835360016,4.040816326530612,0.0305997949621984,0.0132480104956822,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.6919202973269662,0.7552472589148073,0.0045116805367573,0.0127237898652493,0.3607972929862246,0.2864732539068569,51.3698071344125,52.96057679527599,D1_M1,4.0
32,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z3,A2,2.43,5.338559003141193,4.325,3.429431601725683,4.040816326530612,0.180727232381378,0.1072042954584818,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7174975639095726,0.7552472589148073,0.0108158889863273,0.0127237898652493,0.2175067097599453,0.2864732539068569,53.47855487503256,52.96057679527599,D1_M1,4.0
